income,spend,balance,churned
109.2,29.5,3848.0,no
118.8,56.6,1490.0,yes
159.9,109.8,8075.0,yes
165.9,133.1,12076.0,yes
113.7,45.8,6161.0,no
131.9,67.8,2016.0,yes
188.3,130.6,126.0,yes
50.4,34.5,9451.0,yes
49.9,36.3,18631.0,yes
44.9,25.0,7839.0,yes
141.8,26.1,797.0,no
101.2,83.3,8190.0,yes
161.6,128.1,10838.0,yes
144.1,106.4,30891.0,yes
86.7,15.6,801.0,no
182.7,48.2,2122.0,no
159.6,110.9,9145.0,yes
76.0,9.0,3249.0,no
91.9,81.2,558.0,yes
83.5,33.5,5552.0,no
56.8,38.4,7101.0,no
55.1,44.7,3401.0,yes
189.1,78.6,4144.0,no
104.4,37.1,2022.0,no
95.2,55.9,27376.0,no
154.0,87.0,772.0,yes
124.0,53.0,1235.0,no
189.1,110.0,3030.0,yes
162.7,138.0,11141.0,yes
111.5,52.9,315.0,no
94.0,24.2,418.0,no
197.7,79.4,140.0,yes
152.0,63.1,3131.0,no
191.7,39.3,557.0,no
50.1,11.5,1674.0,no
174.6,113.1,8039.0,yes
138.3,51.4,1139.0,no
50.7,43.8,4217.0,yes
130.0,38.3,1903.0,yes
146.6,26.3,8170.0,yes
32.1,22.6,6080.0,no
107.2,86.3,1056.0,yes
170.3,54.9,2315.0,no
80.2,21.0,14266.0,no
108.0,26.8,5378.0,no
105.2,54.4,367.0,yes
81.3,38.6,7970.0,yes
186.1,57.2,586.0,yes
162.8,22.2,24804.0,no
48.8,23.7,13851.0,yes
199.5,173.1,4605.0,yes
179.5,111.6,3774.0,yes
78.3,38.9,2179.0,no
172.3,32.5,8248.0,yes
48.1,14.5,1709.0,no
199.8,67.1,4244.0,no
143.2,101.9,11025.0,no
140.5,112.6,1283.0,no
45.4,37.3,1183.0,yes
182.5,162.0,497.0,no
34.9,30.9,604.0,yes
70.9,61.2,192.0,yes
54.3,8.6,8908.0,no
162.1,34.1,44953.0,no
63.7,21.9,25286.0,no
184.8,100.2,260.0,no
141.6,25.1,8842.0,no
36.1,28.1,25164.0,yes
30.9,18.3,1502.0,yes
38.8,20.7,3471.0,yes
133.0,30.9,147.0,no
166.3,50.3,4448.0,no
70.6,16.1,605.0,yes
174.4,136.3,4022.0,yes
39.7,22.5,287.0,no
166.2,114.3,6730.0,yes
187.7,63.2,13860.0,no
161.3,64.0,921.0,no
148.7,63.0,542.0,yes
172.5,122.1,117.0,yes
36.8,26.4,1999.0,yes
64.3,17.1,1246.0,no
51.2,43.7,291.0,yes
115.8,22.8,5881.0,no
156.7,128.0,1518.0,no
137.1,24.7,594.0,no
174.7,54.4,1297.0,yes
56.4,43.8,14868.0,yes
154.9,37.7,7364.0,yes
62.8,27.1,2453.0,yes
76.0,35.0,7545.0,yes
150.7,44.6,523.0,no
196.6,131.4,3129.0,no
134.0,104.6,3718.0,yes
39.3,31.4,1473.0,yes
134.8,50.1,5728.0,yes
37.2,19.5,925.0,no
180.3,53.9,6404.0,no
150.6,44.6,6821.0,no
59.4,13.6,37.0,no
45.6,38.8,17773.0,yes
61.2,49.6,31.0,yes
196.6,141.9,1183.0,yes
108.0,55.5,13877.0,yes
163.3,80.4,1852.0,no
138.2,72.4,331.0,yes
127.3,67.4,578.0,no
54.7,24.5,13910.0,no
190.8,39.2,167.0,no
81.2,16.3,16212.0,no
128.3,110.5,2744.0,yes
149.0,72.3,498.0,no
140.4,121.1,1243.0,yes
189.9,43.8,648.0,no
55.2,30.0,10931.0,no
116.4,31.0,8943.0,yes
98.7,29.9,226.0,no
110.6,13.7,1627.0,no
50.3,9.8,817.0,yes
52.8,44.0,20749.0,yes
77.3,27.6,393.0,no
81.8,48.0,33069.0,yes
102.7,48.5,2836.0,yes
133.9,56.3,522.0,no
137.9,72.5,1079.0,yes
100.0,25.0,896.0,no
99.5,88.6,441.0,yes
67.0,50.6,3437.0,yes
130.0,90.1,473.0,yes
83.9,39.9,113.0,yes
36.1,8.0,1687.0,no
101.1,84.6,199.0,yes
110.6,41.3,965.0,no
68.4,9.6,762.0,no
127.3,47.6,807.0,no
126.2,92.8,59961.0,yes
149.3,89.3,3244.0,yes
140.2,98.2,4307.0,no
140.9,103.6,208.0,yes
83.8,22.6,1118.0,no
163.9,137.5,4117.0,yes
123.4,55.6,641.0,no
103.3,63.2,11639.0,no
136.4,13.9,491.0,no
91.3,81.7,1940.0,yes
117.2,38.0,1238.0,no
