week,store,demand
2024-05-06,Store 03,307.0
2024-05-13,Store 03,307.9
2024-05-20,Store 03,307.8
2024-05-27,Store 03,292.9
2024-06-03,Store 03,315.5
2024-06-10,Store 03,313.8
2024-06-17,Store 03,339.8
2024-06-24,Store 03,306.7
2024-07-01,Store 03,318.7
2024-07-08,Store 03,316.9
2024-07-15,Store 03,355.3
2024-07-22,Store 03,324.0
2024-07-29,Store 03,349.2
2024-08-05,Store 03,359.2
2024-08-12,Store 03,346.6
2024-08-19,Store 03,332.4
2024-08-26,Store 03,337.0
2024-09-02,Store 03,374.9
2024-09-09,Store 03,347.8
2024-09-16,Store 03,377.3
2024-09-23,Store 03,378.0
2024-09-30,Store 03,386.7
2024-10-07,Store 03,392.9
2024-10-14,Store 03,376.6
2024-10-21,Store 03,380.6
2024-10-28,Store 03,410.5
2024-11-04,Store 03,394.8
2024-11-11,Store 03,367.3
2024-11-18,Store 03,422.3
2024-11-25,Store 03,401.0
2024-12-02,Store 03,427.2
2024-12-09,Store 03,444.6
2024-12-16,Store 03,427.2
2024-12-23,Store 03,444.8
2024-12-30,Store 03,434.9
2025-01-06,Store 03,458.9
2025-01-13,Store 03,421.4
2025-01-20,Store 03,439.3
2025-01-27,Store 03,451.3
2025-02-03,Store 03,439.9
2025-02-10,Store 03,461.4
2025-02-17,Store 03,438.8
2025-02-24,Store 03,477.4
2025-03-03,Store 03,479.1
2025-03-10,Store 03,452.3
2025-03-17,Store 03,457.0
2025-03-24,Store 03,467.3
2025-03-31,Store 03,432.3
2025-04-07,Store 03,431.1
2025-04-14,Store 03,470.4
2025-04-21,Store 03,456.4
2025-04-28,Store 03,449.8
2025-05-05,Store 03,454.4
2025-05-12,Store 03,419.7
2025-05-19,Store 03,454.0
2025-05-26,Store 03,447.1
2025-06-02,Store 03,473.9
2025-06-09,Store 03,477.1
2025-06-16,Store 03,473.0
2025-06-23,Store 03,472.8
2024-01-01,Store 04,874.7
2024-01-08,Store 04,819.4
2024-01-15,Store 04,840.0
2024-01-22,Store 04,835.0
2024-01-29,Store 04,848.1
2024-02-05,Store 04,844.3
2024-02-12,Store 04,838.5
2024-02-19,Store 04,854.5
2024-02-26,Store 04,819.0
2024-03-04,Store 04,815.7
2024-03-11,Store 04,811.2
2024-03-18,Store 04,815.9
2024-03-25,Store 04,797.3
2024-04-01,Store 04,809.0
2024-04-08,Store 04,801.1
2024-04-15,Store 04,785.6
2024-04-22,Store 04,804.2
2024-04-29,Store 04,784.0
2024-05-06,Store 04,794.9
2024-05-13,Store 04,770.3
2024-05-20,Store 04,767.5
2024-05-27,Store 04,754.6
2024-06-03,Store 04,758.6
2024-06-10,Store 04,765.7
2024-06-17,Store 04,745.7
2024-06-24,Store 04,757.4
2024-07-01,Store 04,735.8
2024-07-08,Store 04,758.6
2024-07-15,Store 04,738.6
2024-07-22,Store 04,761.0
2024-07-29,Store 04,750.8
2024-08-05,Store 04,775.2
2024-08-12,Store 04,738.4
2024-08-19,Store 04,737.5
2024-08-26,Store 04,755.1
2024-09-02,Store 04,748.9
2024-09-09,Store 04,754.8
2024-09-16,Store 04,791.2
2024-09-23,Store 04,788.6
2024-09-30,Store 04,788.5
2024-10-07,Store 04,797.2
2024-10-14,Store 04,801.4
2024-10-21,Store 04,842.5
2024-10-28,Store 04,814.0
2024-11-04,Store 04,812.3
2024-11-11,Store 04,850.9
2024-11-18,Store 04,842.2
2024-11-25,Store 04,882.0
2024-12-02,Store 04,849.0
2024-12-09,Store 04,874.4
2024-12-16,Store 04,882.1
2024-12-23,Store 04,861.5
2024-12-30,Store 04,860.9
2025-01-06,Store 04,885.0
2025-01-13,Store 04,883.6
2025-01-20,Store 04,854.1
2025-01-27,Store 04,857.7
2025-02-03,Store 04,835.2
2025-02-10,Store 04,880.0
2025-02-17,Store 04,864.3
2025-02-24,Store 04,862.2
2025-03-03,Store 04,835.1
2025-03-10,Store 04,839.2
2025-03-17,Store 04,843.3
2025-03-24,Store 04,834.7
2025-03-31,Store 04,840.7
2025-04-07,Store 04,841.5
2025-04-14,Store 04,860.5
2025-04-21,Store 04,819.9
2025-04-28,Store 04,830.8
2025-05-05,Store 04,795.6
2025-05-12,Store 04,777.2
2025-05-19,Store 04,791.7
2025-05-26,Store 04,768.2
2025-06-02,Store 04,788.0
2025-06-09,Store 04,772.4
2025-06-16,Store 04,751.7
2025-06-23,Store 04,804.8
2024-01-01,Store 05,848.0
2024-01-08,Store 05,819.7
2024-01-15,Store 05,822.2
2024-01-22,Store 05,835.5
2024-01-29,Store 05,839.7
2024-02-05,Store 05,843.3
2024-02-12,Store 05,831.7
2024-02-19,Store 05,842.8
2024-02-26,Store 05,848.2
2024-03-04,Store 05,842.5
2024-03-11,Store 05,840.2
2024-03-18,Store 05,823.8
2024-03-25,Store 05,857.9
2024-04-01,Store 05,853.1
2024-04-08,Store 05,850.0
2024-04-15,Store 05,879.1
2024-04-22,Store 05,842.4
2024-04-29,Store 05,892.3
2024-05-06,Store 05,871.1
2024-05-13,Store 05,879.8
2024-05-20,Store 05,872.5
2024-05-27,Store 05,856.7
2024-06-03,Store 05,882.6
2024-06-10,Store 05,892.3
2024-06-17,Store 05,899.7
2024-06-24,Store 05,888.5
2024-07-01,Store 05,860.1
2024-07-08,Store 05,871.0
2024-07-15,Store 05,925.5
2024-07-22,Store 05,878.5
2024-07-29,Store 05,916.0
2024-08-05,Store 05,879.9
2024-08-12,Store 05,890.0
2024-08-19,Store 05,900.6
2024-08-26,Store 05,876.9
2024-09-02,Store 05,910.8
2024-09-09,Store 05,885.4
2024-09-16,Store 05,888.3
2024-09-23,Store 05,874.2
2024-09-30,Store 05,884.7
2024-10-07,Store 05,895.0
2024-10-14,Store 05,865.7
2024-10-21,Store 05,890.0
2024-10-28,Store 05,851.3
2024-11-04,Store 05,868.4
2024-11-11,Store 05,860.8
2024-11-18,Store 05,834.2
2024-11-25,Store 05,850.4
2024-12-02,Store 05,844.6
2024-12-09,Store 05,829.2
2024-12-16,Store 05,845.3
2024-12-23,Store 05,840.4
2024-12-30,Store 05,835.9
2025-01-06,Store 05,835.1
2025-01-13,Store 05,834.3
2025-01-20,Store 05,830.2
2025-01-27,Store 05,838.2
2025-02-03,Store 05,827.4
2025-02-10,Store 05,878.3
2025-02-17,Store 05,819.1
2025-02-24,Store 05,833.6
2025-03-03,Store 05,837.3
2025-03-10,Store 05,878.3
2025-03-17,Store 05,831.1
2025-03-24,Store 05,860.6
2025-03-31,Store 05,861.5
2025-04-07,Store 05,866.5
2025-04-14,Store 05,883.9
2025-04-21,Store 05,887.4
2025-04-28,Store 05,866.2
2025-05-05,Store 05,879.7
2025-05-12,Store 05,852.4
2025-05-19,Store 05,885.3
2025-05-26,Store 05,875.1
2025-06-02,Store 05,887.2
2025-06-09,Store 05,867.4
2025-06-16,Store 05,901.0
2025-06-23,Store 05,871.4
2024-01-01,Store 06,649.8
2024-01-08,Store 06,664.8
2024-01-15,Store 06,677.6
2024-01-22,Store 06,649.1
2024-01-29,Store 06,689.7
2024-02-05,Store 06,651.6
2024-02-12,Store 06,690.9
2024-02-19,Store 06,678.3
2024-02-26,Store 06,677.3
2024-03-04,Store 06,705.8
2024-03-11,Store 06,715.7
2024-03-18,Store 06,719.8
2024-03-25,Store 06,713.4
2024-04-01,Store 06,715.9
2024-04-08,Store 06,725.0
2024-04-15,Store 06,724.4
2024-04-22,Store 06,730.3
2024-04-29,Store 06,727.1
2024-05-06,Store 06,738.1
2024-05-13,Store 06,702.1
2024-05-20,Store 06,725.2
2024-05-27,Store 06,706.7
2024-06-03,Store 06,731.5
2024-06-10,Store 06,751.7
2024-06-17,Store 06,719.4
2024-06-24,Store 06,727.6
2024-07-01,Store 06,736.2
2024-07-08,Store 06,692.9
2024-07-15,Store 06,715.1
2024-07-22,Store 06,727.5
2024-07-29,Store 06,677.7
2024-08-05,Store 06,705.8
2024-08-12,Store 06,736.4
2024-08-19,Store 06,734.7
2024-08-26,Store 06,725.3
2024-09-02,Store 06,733.3
2024-09-09,Store 06,724.0
2024-09-16,Store 06,730.2
2024-09-23,Store 06,718.6
2024-09-30,Store 06,727.1
2024-10-07,Store 06,718.3
2024-10-14,Store 06,749.6
2024-10-21,Store 06,756.8
2024-10-28,Store 06,758.4
2024-11-04,Store 06,735.8
2024-11-11,Store 06,732.3
2024-11-18,Store 06,770.8
2024-11-25,Store 06,765.2
2024-12-02,Store 06,767.6
2024-12-09,Store 06,759.2
2024-12-16,Store 06,781.3
2024-12-23,Store 06,765.0
2024-12-30,Store 06,797.3
2025-01-06,Store 06,815.1
2025-01-13,Store 06,825.5
2025-01-20,Store 06,818.2
2025-01-27,Store 06,793.4
2025-02-03,Store 06,823.4
2025-02-10,Store 06,858.7
2025-02-17,Store 06,819.5
2025-02-24,Store 06,837.3
2025-03-03,Store 06,864.7
2025-03-10,Store 06,857.7
2025-03-17,Store 06,890.1
2025-03-24,Store 06,846.1
2025-03-31,Store 06,845.9
2025-04-07,Store 06,882.3
2025-04-14,Store 06,848.8
2025-04-21,Store 06,866.1
2025-04-28,Store 06,869.9
2025-05-05,Store 06,887.9
2025-05-12,Store 06,882.6
2025-05-19,Store 06,880.9
2025-05-26,Store 06,868.2
2025-06-02,Store 06,892.4
2025-06-09,Store 06,934.3
2025-06-16,Store 06,883.7
2025-06-23,Store 06,874.1
2024-01-01,Store 07,724.5
2024-01-08,Store 07,750.5
2024-01-15,Store 07,741.1
2024-01-22,Store 07,718.0
2024-01-29,Store 07,699.6
2024-02-05,Store 07,734.7
2024-02-12,Store 07,710.4
2024-02-19,Store 07,681.2
2024-02-26,Store 07,713.5
2024-03-04,Store 07,713.7
2024-03-11,Store 07,657.2
2024-03-18,Store 07,676.3
2024-03-25,Store 07,682.1
2024-04-01,Store 07,689.9
2024-04-08,Store 07,666.4
2024-04-15,Store 07,657.1
2024-04-22,Store 07,676.2
2024-04-29,Store 07,654.2
2024-05-06,Store 07,665.8
2024-05-13,Store 07,637.8
2024-05-20,Store 07,631.6
2024-05-27,Store 07,661.1
2024-06-03,Store 07,652.0
2024-06-10,Store 07,661.1
2024-06-17,Store 07,639.0
2024-06-24,Store 07,635.4
2024-07-01,Store 07,668.7
2024-07-08,Store 07,627.0
2024-07-15,Store 07,670.8
2024-07-22,Store 07,674.6
2024-07-29,Store 07,671.1
2024-08-05,Store 07,651.7
2024-08-12,Store 07,654.0
2024-08-19,Store 07,667.8
2024-08-26,Store 07,656.6
2024-09-02,Store 07,666.9
2024-09-09,Store 07,696.4
2024-09-16,Store 07,702.1
2024-09-23,Store 07,682.3
2024-09-30,Store 07,713.8
2024-10-07,Store 07,715.9
2024-10-14,Store 07,737.1
2024-10-21,Store 07,728.0
2024-10-28,Store 07,740.1
2024-11-04,Store 07,735.7
2024-11-11,Store 07,747.1
2024-11-18,Store 07,716.5
2024-11-25,Store 07,736.9
2024-12-02,Store 07,740.4
2024-12-09,Store 07,739.0
2024-12-16,Store 07,750.3
2024-12-23,Store 07,753.6
2024-12-30,Store 07,749.7
2025-01-06,Store 07,740.3
2025-01-13,Store 07,730.5
2025-01-20,Store 07,755.9
2025-01-27,Store 07,742.1
2025-02-03,Store 07,718.5
2025-02-10,Store 07,727.3
2025-02-17,Store 07,700.1
2025-02-24,Store 07,722.5
2025-03-03,Store 07,714.5
2025-03-10,Store 07,704.1
2025-03-17,Store 07,731.6
2025-03-24,Store 07,685.6
2025-03-31,Store 07,708.6
2025-04-07,Store 07,726.1
2025-04-14,Store 07,704.9
2025-04-21,Store 07,683.9
2025-04-28,Store 07,663.4
2025-05-05,Store 07,656.3
2025-05-12,Store 07,667.4
2025-05-19,Store 07,660.7
2025-05-26,Store 07,658.1
2025-06-02,Store 07,662.4
2025-06-09,Store 07,664.8
2025-06-16,Store 07,673.4
2025-06-23,Store 07,647.8
2024-01-01,Store 08,789.6
2024-01-08,Store 08,758.5
2024-01-15,Store 08,785.6
2024-01-22,Store 08,784.3
2024-01-29,Store 08,771.1
2024-02-05,Store 08,751.8
2024-02-12,Store 08,793.7
2024-02-19,Store 08,748.9
2024-02-26,Store 08,772.9
2024-03-04,Store 08,764.3
2024-03-11,Store 08,769.0
2024-03-18,Store 08,784.8
2024-03-25,Store 08,767.2
2024-04-01,Store 08,750.4
2024-04-08,Store 08,775.9
2024-04-15,Store 08,750.7
2024-04-22,Store 08,764.0
2024-04-29,Store 08,744.0
2024-05-06,Store 08,750.1
2024-05-13,Store 08,769.0
2024-05-20,Store 08,776.7
2024-05-27,Store 08,748.9
2024-06-03,Store 08,785.4
2024-06-10,Store 08,769.4
2024-06-17,Store 08,804.8
2024-06-24,Store 08,784.3
2024-07-01,Store 08,776.9
2024-07-08,Store 08,798.9
2024-07-15,Store 08,788.1
2024-07-22,Store 08,824.8
2024-07-29,Store 08,809.6
2024-08-05,Store 08,810.9
2024-08-12,Store 08,825.4
2024-08-19,Store 08,804.5
2024-08-26,Store 08,803.0
2024-09-02,Store 08,830.8
2024-09-09,Store 08,810.2
2024-09-16,Store 08,811.7
2024-09-23,Store 08,841.8
2024-09-30,Store 08,837.8
2024-10-07,Store 08,811.3
2024-10-14,Store 08,820.6
2024-10-21,Store 08,815.6
2024-10-28,Store 08,854.7
2024-11-04,Store 08,840.1
2024-11-11,Store 08,818.3
2024-11-18,Store 08,831.0
2024-11-25,Store 08,799.4
2024-12-02,Store 08,806.8
2024-12-09,Store 08,815.4
2024-12-16,Store 08,817.4
2024-12-23,Store 08,805.8
2024-12-30,Store 08,807.6
2025-01-06,Store 08,801.6
2025-01-13,Store 08,794.6
2025-01-20,Store 08,789.4
2025-01-27,Store 08,784.3
2025-02-03,Store 08,791.2
2025-02-10,Store 08,791.3
2025-02-17,Store 08,785.7
2025-02-24,Store 08,763.0
2025-03-03,Store 08,764.0
2025-03-10,Store 08,783.7
2025-03-17,Store 08,799.0
2025-03-24,Store 08,778.8
2025-03-31,Store 08,770.3
2025-04-07,Store 08,780.4
2025-04-14,Store 08,760.9
2025-04-21,Store 08,799.0
2025-04-28,Store 08,783.9
2025-05-05,Store 08,773.3
2025-05-12,Store 08,783.5
2025-05-19,Store 08,781.0
2025-05-26,Store 08,811.8
2025-06-02,Store 08,792.6
2025-06-09,Store 08,801.8
2025-06-16,Store 08,811.9
2025-06-23,Store 08,796.2
2024-01-01,Store 09,615.3
2024-01-08,Store 09,616.2
2024-01-15,Store 09,613.6
2024-01-22,Store 09,616.5
2024-01-29,Store 09,633.0
2024-02-05,Store 09,596.3
2024-02-12,Store 09,610.7
2024-02-19,Store 09,628.4
2024-02-26,Store 09,628.9
2024-03-04,Store 09,632.6
2024-03-11,Store 09,671.7
2024-03-18,Store 09,645.0
2024-03-25,Store 09,658.6
2024-04-01,Store 09,643.5
2024-04-08,Store 09,640.0
2024-04-15,Store 09,657.4
2024-04-22,Store 09,680.3
2024-04-29,Store 09,683.3
2024-05-06,Store 09,691.0
2024-05-13,Store 09,689.5
2024-05-20,Store 09,694.8
2024-05-27,Store 09,705.2
2024-06-03,Store 09,726.0
2024-06-10,Store 09,734.6
2024-06-17,Store 09,713.3
2024-06-24,Store 09,745.8
2024-07-01,Store 09,730.0
2024-07-08,Store 09,751.5
2024-07-15,Store 09,745.7
2024-07-22,Store 09,775.4
2024-07-29,Store 09,748.3
2024-08-05,Store 09,759.1
2024-08-12,Store 09,766.6
2024-08-19,Store 09,744.7
2024-08-26,Store 09,756.4
2024-09-02,Store 09,752.4
2024-09-09,Store 09,746.9
2024-09-16,Store 09,745.6
2024-09-23,Store 09,765.9
2024-09-30,Store 09,736.7
2024-10-07,Store 09,750.3
2024-10-14,Store 09,742.2
2024-10-21,Store 09,712.0
2024-10-28,Store 09,736.0
2024-11-04,Store 09,702.2
2024-11-11,Store 09,728.0
2024-11-18,Store 09,706.2
2024-11-25,Store 09,709.4
2024-12-02,Store 09,685.6
2024-12-09,Store 09,702.9
2024-12-16,Store 09,711.5
2024-12-23,Store 09,682.4
2024-12-30,Store 09,683.0
2025-01-06,Store 09,697.1
2025-01-13,Store 09,696.3
2025-01-20,Store 09,652.2
2025-01-27,Store 09,719.2
2025-02-03,Store 09,698.0
2025-02-10,Store 09,702.3
2025-02-17,Store 09,692.3
2025-02-24,Store 09,669.9
2025-03-03,Store 09,711.9
2025-03-10,Store 09,698.0
2025-03-17,Store 09,720.0
2025-03-24,Store 09,714.4
2025-03-31,Store 09,727.7
2025-04-07,Store 09,719.4
2025-04-14,Store 09,751.1
2025-04-21,Store 09,727.8
2025-04-28,Store 09,787.0
2025-05-05,Store 09,794.6
2025-05-12,Store 09,793.3
2025-05-19,Store 09,795.6
2025-05-26,Store 09,782.7
2025-06-02,Store 09,808.7
2025-06-09,Store 09,796.6
2025-06-16,Store 09,781.2
2025-06-23,Store 09,833.0
2024-01-01,Store 10,397.1
2024-01-08,Store 10,434.1
2024-01-15,Store 10,391.6
2024-01-22,Store 10,416.1
2024-01-29,Store 10,395.7
2024-02-05,Store 10,384.0
2024-02-12,Store 10,406.6
2024-02-19,Store 10,396.2
2024-02-26,Store 10,412.6
2024-03-04,Store 10,380.6
2024-03-11,Store 10,388.4
2024-03-18,Store 10,364.8
2024-03-25,Store 10,369.4
2024-04-01,Store 10,431.4
2024-04-08,Store 10,438.6
2024-04-15,Store 10,412.3
2024-04-22,Store 10,402.6
2024-04-29,Store 10,415.1
2024-05-06,Store 10,437.8
2024-05-13,Store 10,422.5
2024-05-20,Store 10,439.7
2024-05-27,Store 10,442.1
2024-06-03,Store 10,440.1
2024-06-10,Store 10,447.2
2024-06-17,Store 10,465.9
2024-06-24,Store 10,453.3
2024-07-01,Store 10,481.0
2024-07-08,Store 10,473.3
2024-07-15,Store 10,488.0
2024-07-22,Store 10,512.3
2024-07-29,Store 10,494.0
2024-08-05,Store 10,514.8
2024-08-12,Store 10,478.0
2024-08-19,Store 10,501.2
2024-08-26,Store 10,511.3
2024-09-02,Store 10,541.8
2024-09-09,Store 10,484.9
2024-09-16,Store 10,513.5
2024-09-23,Store 10,536.8
2024-09-30,Store 10,502.4
2024-10-07,Store 10,509.7
2024-10-14,Store 10,515.9
2024-10-21,Store 10,511.1
2024-10-28,Store 10,528.7
2024-11-04,Store 10,508.4
2024-11-11,Store 10,517.6
2024-11-18,Store 10,487.9
2024-11-25,Store 10,477.6
2024-12-02,Store 10,480.5
2024-12-09,Store 10,461.6
2024-12-16,Store 10,481.3
2024-12-23,Store 10,463.4
2024-12-30,Store 10,454.3
2025-01-06,Store 10,467.4
2025-01-13,Store 10,438.5
2025-01-20,Store 10,463.3
2025-01-27,Store 10,441.2
2025-02-03,Store 10,462.8
2025-02-10,Store 10,437.1
2025-02-17,Store 10,450.7
2025-02-24,Store 10,442.8
2025-03-03,Store 10,450.7
2025-03-10,Store 10,441.4
2025-03-17,Store 10,415.7
2025-03-24,Store 10,457.4
2025-03-31,Store 10,443.1
2025-04-07,Store 10,459.2
2025-04-14,Store 10,461.2
2025-04-21,Store 10,443.4
2025-04-28,Store 10,445.9
2025-05-05,Store 10,474.6
2025-05-12,Store 10,465.7
2025-05-19,Store 10,490.2
2025-05-26,Store 10,479.6
2025-06-02,Store 10,504.0
2025-06-09,Store 10,501.4
2025-06-16,Store 10,505.9
2025-06-23,Store 10,502.4
2024-01-01,Store 11,484.7
2024-01-08,Store 11,484.1
2024-01-15,Store 11,506.3
2024-01-22,Store 11,497.0
2024-01-29,Store 11,478.8
2024-02-05,Store 11,479.9
2024-02-12,Store 11,465.4
2024-02-19,Store 11,473.1
2024-02-26,Store 11,480.4
2024-03-04,Store 11,489.1
2024-03-11,Store 11,488.7
2024-03-18,Store 11,462.3
2024-03-25,Store 11,495.7
2024-04-01,Store 11,482.3
2024-04-08,Store 11,471.9
2024-04-15,Store 11,510.4
2024-04-22,Store 11,516.4
2024-04-29,Store 11,503.0
2024-05-06,Store 11,514.6
2024-05-13,Store 11,520.9
2024-05-20,Store 11,536.0
2024-05-27,Store 11,532.0
2024-06-03,Store 11,507.5
2024-06-10,Store 11,564.0
2024-06-17,Store 11,556.4
2024-06-24,Store 11,539.4
2024-07-01,Store 11,538.3
2024-07-08,Store 11,567.9
2024-07-15,Store 11,562.7
2024-07-22,Store 11,578.1
2024-07-29,Store 11,590.4
2024-08-05,Store 11,576.5
2024-08-12,Store 11,573.8
2024-08-19,Store 11,601.4
2024-08-26,Store 11,592.2
2024-09-02,Store 11,606.6
2024-09-09,Store 11,588.0
2024-09-16,Store 11,607.6
2024-09-23,Store 11,624.8
2024-09-30,Store 11,625.4
2024-10-07,Store 11,606.1
2024-10-14,Store 11,601.6
2024-10-21,Store 11,620.1
2024-10-28,Store 11,628.5
2024-11-04,Store 11,625.9
2024-11-11,Store 11,611.6
2024-11-18,Store 11,622.8
2024-11-25,Store 11,639.6
2024-12-02,Store 11,618.7
2024-12-09,Store 11,589.4
2024-12-16,Store 11,615.2
2024-12-23,Store 11,640.9
2024-12-30,Store 11,589.0
2025-01-06,Store 11,607.0
2025-01-13,Store 11,601.4
2025-01-20,Store 11,604.7
2025-01-27,Store 11,604.9
2025-02-03,Store 11,618.1
2025-02-10,Store 11,601.6
2025-02-17,Store 11,619.2
2025-02-24,Store 11,598.4
2025-03-03,Store 11,595.4
2025-03-10,Store 11,591.7
2025-03-17,Store 11,576.1
2025-03-24,Store 11,609.5
2025-03-31,Store 11,638.8
2025-04-07,Store 11,618.0
2025-04-14,Store 11,625.0
2025-04-21,Store 11,612.6
2025-04-28,Store 11,619.7
2025-05-05,Store 11,643.1
2025-05-12,Store 11,663.8
2025-05-19,Store 11,661.7
2025-05-26,Store 11,657.5
2025-06-02,Store 11,652.2
2025-06-09,Store 11,661.3
2025-06-16,Store 11,653.4
2025-06-23,Store 11,649.7
2024-01-01,Store 12,654.4
2024-01-08,Store 12,648.3
2024-01-15,Store 12,634.4
2024-01-22,Store 12,646.1
2024-01-29,Store 12,647.1
2024-02-05,Store 12,643.7
2024-02-12,Store 12,668.5
2024-02-19,Store 12,628.4
2024-02-26,Store 12,630.0
2024-03-04,Store 12,663.3
2024-03-11,Store 12,668.5
2024-03-18,Store 12,677.4
2024-03-25,Store 12,667.9
2024-04-01,Store 12,667.0
2024-04-08,Store 12,685.6
2024-04-15,Store 12,684.2
