listing_id,sqft,age_years,bedrooms,location_tier,sale_price
H00306,1299.0,24,1,prime,344150.0
H00307,3072.0,25,2,suburb,540142.0
H00308,1249.0,57,3,suburb,221180.0
H00309,1941.0,16,3,suburb,324731.0
H00310,2799.0,45,4,suburb,498536.0
H00311,2276.0,37,2,midtown,445998.0
H00312,1338.0,3,1,suburb,260899.0
H00313,1969.0,29,3,prime,507510.0
H00314,678.0,11,1,suburb,143398.0
H00315,1951.0,43,3,midtown,426049.0
H00316,1636.0,26,2,midtown,343480.0
H00317,2534.0,21,4,midtown,493783.0
H00318,2782.0,3,4,midtown,590848.0
H00319,999.0,7,2,midtown,277640.0
H00320,674.0,45,1,midtown,151468.0
H00321,1524.0,51,1,prime,342044.0
H00322,1919.0,17,2,suburb,329103.0
H00323,1486.0,49,3,suburb,250888.0
H00324,2179.0,33,4,midtown,480707.0
H00325,1841.0,21,3,suburb,342688.0
H00326,3026.0,27,4,suburb,492213.0
H00327,1576.0,41,1,prime,389127.0
H00328,677.0,54,2,suburb,136083.0
H00329,1280.0,29,1,suburb,223466.0
H00330,2116.0,20,5,midtown,451810.0
H00331,1154.0,45,1,suburb,179690.0
H00332,1190.0,31,3,suburb,260169.0
H00333,1384.0,23,3,suburb,280410.0
H00334,2502.0,27,3,suburb,443090.0
H00335,3035.0,32,4,suburb,523734.0
H00336,1414.0,8,3,midtown,343725.0
H00337,988.0,3,1,suburb,204070.0
H00338,1607.0,39,3,suburb,290174.0
H00339,1418.0,10,3,midtown,357396.0
H00340,3173.0,31,5,suburb,577585.0
H00341,1726.0,46,2,suburb,270820.0
H00342,2318.0,12,2,suburb,405566.0
H00343,2963.0,22,4,suburb,532930.0
H00344,2180.0,58,3,suburb,393766.0
H00345,1136.0,2,1,suburb,266965.0
H00346,2120.0,45,3,prime,511961.0
H00347,1555.0,10,2,prime,458673.0
H00348,1611.0,54,1,prime,373795.0
H00349,3143.0,24,4,suburb,560955.0
H00350,1216.0,0,2,midtown,313578.0
H00351,1740.0,43,4,midtown,347017.0
H00352,890.0,8,1,suburb,203697.0
H00353,941.0,21,2,prime,310342.0
H00354,2110.0,30,3,midtown,430760.0
H00355,2515.0,44,2,suburb,404684.0
H00356,2200.0,25,4,prime,558291.0
H00357,1356.0,51,1,suburb,234957.0
H00358,614.0,28,1,suburb,139580.0
H00359,1743.0,20,2,suburb,302168.0
H00360,1837.0,20,3,suburb,338462.0
H00361,2569.0,48,4,prime,636935.0
H00362,2211.0,39,4,midtown,442430.0
H00363,2846.0,7,5,suburb,526413.0
H00364,2603.0,45,5,midtown,494010.0
H00365,1456.0,24,1,prime,403528.0
H00366,2189.0,20,2,prime,556141.0
H00367,2505.0,5,2,prime,622171.0
H00368,3081.0,59,5,prime,700599.0
H00369,1611.0,3,2,midtown,380732.0
H00370,2233.0,59,3,suburb,376698.0
H00371,1530.0,3,2,prime,443323.0
H00372,2479.0,30,4,suburb,456005.0
H00373,2958.0,6,3,suburb,535003.0
H00374,2978.0,29,3,suburb,505191.0
H00375,882.0,50,1,suburb,150313.0
H00376,1011.0,35,2,midtown,221495.0
H00377,2526.0,32,4,prime,653520.0
H00378,2185.0,7,3,suburb,431712.0
H00379,2939.0,56,3,midtown,540674.0
H00380,1313.0,22,3,suburb,293155.0
H00381,2782.0,32,3,midtown,547905.0
H00382,2330.0,53,3,suburb,393058.0
H00383,988.0,37,1,suburb,225180.0
H00384,798.0,44,1,midtown,200051.0
H00385,2382.0,11,3,midtown,526510.0
H00386,886.0,27,1,suburb,161779.0
H00387,2634.0,32,3,suburb,488648.0
H00388,1982.0,10,3,suburb,372912.0
H00389,1761.0,23,2,midtown,362411.0
H00390,1208.0,49,3,suburb,188151.0
H00391,3156.0,55,3,suburb,509932.0
H00392,2436.0,49,4,prime,585315.0
H00393,2590.0,56,4,midtown,505417.0
H00394,2564.0,59,3,suburb,393765.0
H00395,2056.0,11,3,midtown,474219.0
H00396,3034.0,51,5,suburb,523983.0
H00397,2056.0,37,3,suburb,401787.0
H00398,1880.0,51,4,midtown,366511.0
H00399,1203.0,38,1,suburb,240077.0
H00400,1225.0,7,1,suburb,210843.0
H00401,2476.0,33,5,prime,655350.0
H00402,1371.0,45,3,midtown,281005.0
H00403,2454.0,7,4,prime,655346.0
H00404,3070.0,30,5,prime,771009.0
H00405,1658.0,39,1,suburb,260859.0
H00406,718.0,27,2,midtown,165648.0
H00407,2283.0,47,4,suburb,388772.0
H00408,476.0,7,1,midtown,157048.0
H00409,2614.0,20,6,suburb,514014.0
H00410,1896.0,57,3,suburb,324870.0
H00411,1797.0,30,1,suburb,326528.0
H00412,2016.0,10,3,midtown,409605.0
H00413,1870.0,6,2,suburb,341974.0
H00414,1340.0,35,3,midtown,310483.0
H00415,1224.0,55,2,prime,313580.0
H00416,1592.0,2,2,midtown,344506.0
H00417,2911.0,6,5,suburb,553508.0
H00418,822.0,22,2,suburb,173866.0
H00419,1343.0,12,1,prime,357135.0
H00420,979.0,7,1,midtown,247539.0
H00421,1625.0,17,3,suburb,316382.0
H00422,817.0,38,1,prime,217197.0
H00423,2542.0,49,3,suburb,410494.0
H00424,735.0,18,1,suburb,143051.0
H00425,2279.0,42,3,suburb,381600.0
H00426,1186.0,49,1,suburb,219700.0
H00427,1749.0,0,3,suburb,353938.0
H00428,1000.0,51,1,midtown,214014.0
H00429,2458.0,11,3,suburb,451816.0
H00430,3058.0,41,3,midtown,566826.0
H00431,1060.0,45,1,midtown,183262.0
H00432,3071.0,50,5,prime,737780.0
H00433,1345.0,24,2,suburb,245271.0
H00434,1984.0,39,3,midtown,387406.0
H00435,2379.0,1,2,suburb,445767.0
H00436,998.0,26,1,midtown,239775.0
H00437,1673.0,57,3,suburb,327113.0
H00438,637.0,9,1,midtown,165879.0
H00439,2367.0,9,4,suburb,471854.0
H00440,1596.0,42,3,midtown,361655.0
H00441,2902.0,30,4,suburb,497613.0
H00442,1203.0,27,1,suburb,230728.0
H00443,2990.0,14,4,midtown,630610.0
H00444,838.0,10,1,suburb,183429.0
H00445,2119.0,44,2,midtown,401975.0
H00446,1296.0,21,1,midtown,265960.0
H00447,950.0,46,1,midtown,151105.0
H00448,708.0,26,3,midtown,202872.0
H00449,2253.0,23,3,midtown,449508.0
H00450,1091.0,13,2,prime,314906.0
H00451,2025.0,39,2,suburb,350159.0
H00452,3143.0,17,5,midtown,618444.0
H00453,1319.0,54,2,midtown,275145.0
H00454,546.0,24,1,suburb,138289.0
H00455,843.0,48,2,suburb,155797.0
H00456,778.0,28,1,suburb,158490.0
H00457,1724.0,24,2,midtown,337818.0
H00458,2498.0,27,5,suburb,471386.0
H00459,1265.0,26,2,midtown,284038.0
H00460,851.0,28,1,midtown,200449.0
H00461,2212.0,53,3,midtown,433448.0
H00462,1278.0,42,1,suburb,207982.0
H00463,2032.0,2,4,midtown,433576.0
H00464,3018.0,3,5,midtown,655364.0
H00465,1251.0,1,1,suburb,264922.0
H00466,1859.0,41,3,suburb,319070.0
H00467,2669.0,12,4,suburb,491530.0
H00468,2352.0,23,4,prime,643784.0
H00469,2517.0,49,4,suburb,449299.0
H00470,2575.0,7,5,suburb,476850.0
H00471,1935.0,9,3,suburb,341644.0
H00472,1924.0,4,3,suburb,347695.0
H00473,2427.0,17,4,suburb,438996.0
H00474,2369.0,5,5,midtown,554100.0
H00475,2293.0,37,4,suburb,394023.0
H00476,1501.0,44,2,midtown,290596.0
H00477,2728.0,11,4,suburb,482627.0
H00478,1100.0,31,2,suburb,205965.0
H00479,878.0,18,1,midtown,210418.0
H00480,1399.0,4,4,midtown,330335.0
H00481,1148.0,28,1,prime,328753.0
H00482,2274.0,41,4,suburb,398187.0
H00483,1085.0,13,1,midtown,294943.0
H00484,2255.0,47,2,midtown,402910.0
H00485,1861.0,59,3,suburb,341415.0
H00486,869.0,3,1,midtown,249685.0
H00487,1161.0,9,2,suburb,236775.0
H00488,1885.0,17,3,suburb,346877.0
H00489,2466.0,50,3,midtown,453279.0
H00490,1545.0,8,3,midtown,343404.0
H00491,1090.0,28,2,prime,314483.0
H00492,1261.0,32,3,prime,363036.0
H00493,712.0,7,1,suburb,140036.0
H00494,519.0,2,1,midtown,208583.0
H00495,3126.0,7,5,prime,817457.0
H00496,715.0,3,1,suburb,174174.0
H00497,793.0,30,1,suburb,148777.0
H00498,2845.0,56,4,prime,676907.0
H00499,2275.0,21,2,suburb,388481.0
H00500,1649.0,15,2,prime,448916.0
H00501,2235.0,14,3,suburb,407185.0
H00502,3021.0,58,4,prime,730607.0
H00503,723.0,57,1,midtown,148503.0
H00504,1120.0,38,2,midtown,256741.0
H00505,2816.0,27,3,midtown,551817.0
H00506,2597.0,9,3,suburb,468592.0
H00507,3184.0,55,4,midtown,593898.0
H00508,1313.0,0,1,prime,398567.0
H00509,3048.0,9,4,prime,791596.0
H00510,1395.0,40,2,prime,360084.0
H00511,2417.0,11,4,midtown,512385.0
H00512,2878.0,6,4,midtown,595854.0
H00513,920.0,35,1,midtown,200475.0
H00514,1016.0,1,2,midtown,263886.0
H00515,2048.0,16,4,midtown,439024.0
H00516,2771.0,38,3,suburb,477293.0
H00517,667.0,11,2,suburb,185736.0
H00518,2790.0,45,4,midtown,574954.0
H00519,1394.0,5,2,suburb,270704.0
H00520,1567.0,36,2,suburb,290829.0
H00521,1385.0,4,2,suburb,246805.0
H00522,2957.0,43,5,midtown,601426.0
H00523,810.0,45,1,prime,189693.0
H00524,2029.0,47,3,midtown,382415.0
H00525,857.0,16,1,prime,269747.0
H00526,3004.0,14,5,prime,776057.0
H00527,2644.0,58,4,suburb,425575.0
H00528,1093.0,43,2,suburb,195059.0
H00529,1269.0,10,2,suburb,272122.0
H00530,1499.0,1,2,suburb,283687.0
H00531,1565.0,21,3,midtown,348637.0
H00532,2698.0,39,4,suburb,457250.0
H00533,2002.0,22,3,prime,546267.0
H00534,1627.0,48,2,midtown,333462.0
H00535,2428.0,30,5,suburb,412093.0
H00536,1709.0,59,2,prime,422961.0
H00537,803.0,52,1,prime,194306.0
H00538,746.0,28,1,midtown,182401.0
H00539,1346.0,50,2,midtown,252459.0
H00540,2108.0,26,3,prime,555135.0
H00541,821.0,0,1,midtown,265595.0
H00542,1963.0,18,2,prime,513292.0
H00543,1191.0,24,2,suburb,226880.0
H00544,2362.0,58,2,midtown,426319.0
H00545,528.0,49,1,midtown,93640.0
H00546,1740.0,8,3,suburb,367154.0
H00547,594.0,0,1,suburb,163722.0
H00548,1359.0,31,3,suburb,246260.0
H00549,493.0,32,2,suburb,108367.0
H00550,1740.0,44,2,suburb,296978.0
H00551,2559.0,15,5,suburb,494373.0
H00552,726.0,48,1,midtown,133397.0
H00553,2472.0,24,5,midtown,545384.0
H00554,2057.0,20,3,midtown,430978.0
H00555,1838.0,25,1,suburb,299217.0
H00556,2099.0,56,3,midtown,393960.0
H00557,1374.0,23,3,suburb,305963.0
H00558,2403.0,33,4,suburb,401810.0
H00559,2594.0,53,3,midtown,474934.0
H00560,2590.0,1,4,prime,717013.0
H00561,1191.0,32,2,prime,334347.0
H00562,2248.0,42,3,midtown,427582.0
H00563,857.0,54,3,midtown,214825.0
H00564,1812.0,3,2,midtown,413935.0
H00565,457.0,43,1,midtown,120503.0
H00566,982.0,48,2,suburb,172220.0
H00567,2187.0,21,3,suburb,386004.0
H00568,2854.0,44,4,prime,704462.0
H00569,585.0,29,2,prime,183300.0
H00570,1986.0,39,3,suburb,372773.0
H00571,2201.0,23,3,suburb,425068.0
H00572,3014.0,10,3,suburb,519794.0
H00573,2252.0,49,4,suburb,396798.0
H00574,733.0,12,1,suburb,188879.0
H00575,854.0,11,1,midtown,248944.0
H00576,2198.0,53,3,suburb,395087.0
H00577,1043.0,56,1,suburb,141589.0
H00578,3003.0,36,4,suburb,505332.0
H00579,2982.0,34,4,midtown,595253.0
H00580,3059.0,21,4,suburb,523731.0
H00581,1256.0,36,3,suburb,277755.0
H00582,2422.0,36,4,midtown,520073.0
H00583,2273.0,31,3,midtown,442699.0
H00584,548.0,39,2,suburb,125424.0
H00585,1180.0,33,1,midtown,231969.0
H00586,1019.0,52,1,suburb,169386.0
H00587,1470.0,40,3,midtown,310019.0
H00588,3071.0,23,3,suburb,537757.0
H00589,2775.0,39,4,prime,673241.0
H00590,1257.0,13,1,prime,304600.0
H00591,1908.0,12,3,midtown,387188.0
H00592,979.0,49,2,prime,245124.0
H00593,1213.0,34,2,suburb,217474.0
H00594,629.0,3,1,midtown,187910.0
H00595,2217.0,21,4,suburb,391153.0
H00596,2257.0,59,3,suburb,348297.0
H00597,2756.0,38,4,midtown,527683.0
H00598,2847.0,52,4,midtown,524997.0
H00599,890.0,32,3,midtown,215734.0
H00600,2493.0,2,4,prime,667468.0
H00601,820.0,10,1,midtown,221662.0
H00602,1478.0,5,1,prime,390753.0
H00603,1868.0,44,2,prime,450633.0
H00604,586.0,45,1,midtown,124137.0
H00605,881.0,27,1,suburb,190019.0
H00606,1196.0,43,1,midtown,234879.0
H00607,801.0,33,1,midtown,201081.0
H00608,3019.0,44,4,prime,713133.0
H00609,1243.0,40,1,suburb,215329.0
H00610,1828.0,27,3,suburb,326426.0
H00611,3190.0,39,6,suburb,537449.0
H00612,2008.0,19,2,suburb,356884.0
H00613,1582.0,44,2,midtown,345987.0
H00614,3007.0,54,3,suburb,468052.0
H00615,1062.0,12,1,suburb,212877.0
H00616,944.0,40,1,midtown,175130.0
H00617,1922.0,6,4,suburb,355060.0
H00618,1625.0,22,2,suburb,285666.0
H00619,2642.0,40,3,midtown,501406.0
H00620,566.0,16,1,midtown,153241.0
H00621,2149.0,14,3,prime,568635.0
H00622,2404.0,23,3,midtown,457853.0
H00623,3123.0,6,6,prime,828866.0
H00624,851.0,37,1,suburb,171105.0
H00625,1127.0,7,2,midtown,252862.0
H00626,3014.0,19,4,midtown,600763.0
H00627,2184.0,18,3,midtown,461261.0
H00628,555.0,58,2,suburb,98141.0
H00629,663.0,59,2,suburb,133138.0
H00630,2610.0,4,3,suburb,443464.0
H00631,2011.0,9,4,midtown,466137.0
H00632,2005.0,43,3,midtown,406795.0
H00633,2870.0,17,5,suburb,521798.0
H00634,1113.0,38,2,midtown,263113.0
H00635,891.0,55,1,midtown,168552.0
H00636,2138.0,9,4,midtown,460269.0
H00637,2877.0,57,5,suburb,510522.0
H00638,1179.0,3,3,prime,416396.0
H00639,2324.0,13,3,midtown,471917.0
H00640,869.0,30,1,midtown,194615.0
H00641,923.0,52,1,midtown,201659.0
H00642,2929.0,33,3,midtown,563275.0
H00643,774.0,8,1,suburb,187791.0
