customer_id,tenure_months,monthly_charge,support_calls,contract_type,churned
C00331,27,25.1,3,month-to-month,1
C00332,23,31.16,0,two-year,1
C00333,59,58.45,5,month-to-month,1
C00334,33,26.05,0,month-to-month,0
C00335,58,89.82,3,two-year,0
C00336,69,40.7,2,month-to-month,1
C00337,23,50.21,3,month-to-month,1
C00338,15,59.41,0,two-year,0
C00339,68,61.66,3,two-year,0
C00340,46,20.17,3,one-year,0
C00341,21,31.21,1,month-to-month,0
C00342,45,106.28,2,one-year,0
C00343,37,20.12,1,two-year,0
C00344,65,70.82,1,two-year,0
C00345,19,68.95,2,month-to-month,1
C00346,71,53.31,3,month-to-month,0
C00347,67,63.13,5,month-to-month,1
C00348,13,98.06,4,month-to-month,1
C00349,12,104.12,1,one-year,0
C00350,38,46.03,5,month-to-month,1
C00351,4,52.25,3,month-to-month,1
C00352,22,44.25,1,month-to-month,1
C00353,31,67.99,3,month-to-month,1
C00354,69,88.33,2,month-to-month,0
C00355,71,42.83,0,month-to-month,0
C00356,11,53.07,3,month-to-month,1
C00357,64,113.04,3,two-year,0
C00358,7,24.86,1,month-to-month,1
C00359,54,66.08,1,one-year,1
C00360,61,91.16,0,month-to-month,0
C00361,64,35.05,4,month-to-month,1
C00362,16,24.74,2,month-to-month,1
C00363,64,33.82,4,month-to-month,0
C00364,9,111.88,1,month-to-month,1
C00365,37,20.93,1,month-to-month,1
C00366,34,38.83,1,one-year,0
C00367,23,23.13,2,month-to-month,1
C00368,2,31.06,0,month-to-month,0
C00369,55,82.01,1,one-year,0
C00370,24,44.16,2,month-to-month,0
C00371,47,76.92,1,month-to-month,0
C00372,30,79.02,2,month-to-month,0
C00373,27,104.94,1,month-to-month,1
C00374,63,20.47,3,month-to-month,0
C00375,7,105.34,1,two-year,1
C00376,53,81.91,1,two-year,0
C00377,54,36.27,3,two-year,0
C00378,27,97.29,2,month-to-month,1
C00379,19,105.55,0,month-to-month,1
C00380,1,45.43,0,month-to-month,0
C00381,67,111.88,2,month-to-month,1
C00382,68,65.45,3,month-to-month,1
C00383,18,80.34,2,month-to-month,1
C00384,3,118.46,0,month-to-month,1
C00385,9,56.15,4,month-to-month,0
C00386,5,101.32,2,month-to-month,1
C00387,60,51.84,2,one-year,0
C00388,64,99.92,1,month-to-month,1
C00389,11,80.07,1,two-year,1
C00390,54,41.64,1,month-to-month,0
C00391,13,61.4,3,one-year,0
C00392,27,51.76,0,month-to-month,0
C00393,43,27.81,0,month-to-month,0
C00394,52,22.98,2,month-to-month,0
C00395,63,54.65,1,month-to-month,0
C00396,4,21.9,3,one-year,0
C00397,14,36.55,3,month-to-month,1
C00398,20,92.52,0,month-to-month,0
C00399,23,90.81,6,two-year,1
C00400,71,93.86,2,month-to-month,0
C00401,56,51.72,5,one-year,0
C00402,23,109.0,0,one-year,1
C00403,69,79.38,1,month-to-month,1
C00404,36,32.6,0,month-to-month,0
C00405,36,34.37,1,month-to-month,0
C00406,31,89.31,2,one-year,0
C00407,11,37.29,2,month-to-month,0
C00408,67,70.73,5,month-to-month,1
C00409,1,119.18,3,month-to-month,1
C00410,13,20.4,4,two-year,0
C00411,17,21.66,1,one-year,0
C00412,20,119.31,2,two-year,1
C00413,10,78.46,3,one-year,1
C00414,2,32.69,4,one-year,1
C00415,49,109.73,1,month-to-month,0
C00416,69,108.04,2,two-year,0
C00417,9,73.62,1,one-year,0
C00418,22,82.18,1,month-to-month,1
C00419,36,47.32,4,one-year,0
C00420,66,25.05,4,one-year,0
C00421,50,79.46,0,month-to-month,1
C00422,55,49.48,1,month-to-month,0
C00423,42,86.36,3,month-to-month,1
C00424,30,103.62,0,two-year,1
C00425,15,21.82,2,month-to-month,1
C00426,62,79.57,2,two-year,1
C00427,58,43.13,3,month-to-month,0
C00428,2,107.39,4,one-year,1
C00429,51,45.37,2,month-to-month,1
C00430,6,81.08,4,two-year,1
C00431,53,75.35,5,month-to-month,1
C00432,59,59.62,0,month-to-month,0
C00433,10,87.76,0,month-to-month,1
C00434,31,92.58,2,month-to-month,1
C00435,9,76.69,1,month-to-month,1
C00436,41,95.84,1,one-year,0
C00437,66,118.34,2,two-year,1
C00438,6,61.93,2,one-year,0
C00439,29,71.46,5,one-year,0
C00440,70,21.25,0,month-to-month,0
C00441,22,99.6,4,two-year,1
C00442,10,72.02,2,two-year,0
C00443,35,60.8,1,month-to-month,1
C00444,37,29.41,3,two-year,0
C00445,48,108.97,1,month-to-month,1
C00446,23,59.5,4,two-year,1
C00447,68,88.26,1,two-year,0
C00448,37,34.94,1,one-year,0
C00449,21,116.15,0,month-to-month,1
C00450,69,37.84,4,one-year,0
C00451,66,39.95,1,month-to-month,0
C00452,36,105.9,0,one-year,1
C00453,2,111.26,2,month-to-month,1
C00454,43,41.21,4,one-year,1
C00455,40,66.98,2,two-year,0
C00456,11,93.35,1,month-to-month,1
C00457,46,107.84,1,month-to-month,1
C00458,60,57.91,1,one-year,0
C00459,8,71.7,2,month-to-month,1
C00460,52,94.17,3,month-to-month,1
C00461,10,93.11,1,month-to-month,1
C00462,54,98.3,2,month-to-month,0
C00463,30,76.99,4,one-year,1
C00464,1,30.46,2,one-year,0
C00465,69,110.4,1,month-to-month,1
C00466,12,106.56,2,month-to-month,1
C00467,43,99.81,4,month-to-month,1
C00468,13,29.99,1,month-to-month,0
C00469,67,40.44,5,one-year,0
C00470,53,94.36,3,month-to-month,1
C00471,58,22.31,1,one-year,0
C00472,31,117.92,1,two-year,0
C00473,34,57.71,4,one-year,1
C00474,46,91.93,1,one-year,0
C00475,56,108.76,2,month-to-month,1
C00476,61,59.46,3,month-to-month,0
C00477,2,51.91,6,month-to-month,1
C00478,48,80.87,4,one-year,1
C00479,8,78.1,1,two-year,0
C00480,21,60.91,2,month-to-month,1
C00481,59,80.18,1,month-to-month,0
C00482,18,113.54,3,month-to-month,1
C00483,57,66.76,3,one-year,1
C00484,33,39.67,2,one-year,0
C00485,17,57.72,4,one-year,0
C00486,24,59.41,2,two-year,0
C00487,38,33.11,2,month-to-month,0
C00488,55,36.29,2,one-year,0
C00489,44,88.46,6,one-year,1
C00490,67,53.95,1,month-to-month,0
C00491,62,115.49,3,two-year,0
C00492,54,44.36,3,month-to-month,0
C00493,43,29.89,2,one-year,0
C00494,21,95.35,3,one-year,1
C00495,30,108.1,1,two-year,0
C00496,9,47.81,1,one-year,1
C00497,27,40.21,1,month-to-month,1
C00498,66,38.58,3,two-year,0
C00499,31,72.2,1,one-year,0
C00500,9,66.84,2,one-year,0
C00501,47,45.94,2,one-year,0
C00502,69,24.52,2,month-to-month,0
C00503,62,68.15,1,one-year,0
C00504,20,115.93,1,two-year,0
C00505,33,85.25,2,month-to-month,0
C00506,38,69.55,2,month-to-month,1
C00507,18,31.07,2,two-year,0
C00508,20,45.24,1,one-year,1
C00509,17,49.48,0,two-year,0
C00510,71,96.48,3,month-to-month,0
C00511,53,107.67,6,two-year,1
C00512,60,110.16,1,month-to-month,1
C00513,58,118.46,1,one-year,1
C00514,69,118.24,5,month-to-month,1
C00515,8,115.3,2,one-year,0
C00516,63,27.18,3,two-year,0
C00517,5,33.78,1,one-year,0
C00518,34,50.45,0,one-year,0
C00519,43,75.29,0,month-to-month,0
C00520,26,29.7,2,one-year,0
C00521,11,104.58,4,one-year,1
C00522,14,81.68,1,month-to-month,1
C00523,59,74.24,5,one-year,1
C00524,23,36.53,4,two-year,0
C00525,23,45.33,1,one-year,0
C00526,66,36.03,1,one-year,0
C00527,11,105.19,1,month-to-month,0
C00528,65,78.42,1,one-year,1
C00529,66,93.51,2,month-to-month,0
C00530,43,49.6,0,month-to-month,0
C00531,12,57.13,2,month-to-month,1
C00532,12,60.49,2,month-to-month,0
C00533,21,96.0,1,month-to-month,1
C00534,41,97.24,4,one-year,0
C00535,11,40.68,2,month-to-month,0
C00536,33,114.15,3,month-to-month,1
C00537,9,32.07,2,month-to-month,1
C00538,39,109.61,1,one-year,0
C00539,2,30.04,3,month-to-month,1
C00540,51,46.45,1,month-to-month,0
C00541,4,104.65,1,one-year,1
C00542,14,37.95,2,month-to-month,1
C00543,13,61.36,2,two-year,0
C00544,60,64.99,5,month-to-month,1
C00545,4,44.53,2,month-to-month,1
C00546,31,91.02,0,month-to-month,0
C00547,42,105.13,1,one-year,1
C00548,37,107.46,3,month-to-month,1
C00549,49,53.93,2,two-year,0
C00550,58,73.09,1,month-to-month,1
C00551,28,44.84,1,one-year,0
C00552,59,44.48,2,month-to-month,1
C00553,23,36.13,1,month-to-month,1
C00554,70,114.0,2,month-to-month,1
C00555,36,108.8,1,one-year,1
C00556,53,97.74,1,month-to-month,0
C00557,63,71.77,0,two-year,0
C00558,57,69.06,2,one-year,1
C00559,61,72.97,2,two-year,0
C00560,39,73.66,2,month-to-month,0
C00561,4,63.46,3,one-year,1
C00562,36,33.18,4,one-year,0
C00563,13,32.57,3,one-year,0
C00564,64,115.22,3,two-year,1
C00565,17,68.2,2,one-year,0
C00566,17,115.32,2,two-year,0
C00567,18,36.36,1,one-year,0
C00568,46,75.44,0,month-to-month,1
C00569,41,40.77,3,one-year,0
C00570,68,45.32,2,month-to-month,1
C00571,30,23.01,4,two-year,1
C00572,21,31.9,0,two-year,0
C00573,4,111.68,1,month-to-month,1
C00574,1,52.15,3,month-to-month,1
C00575,27,80.81,1,month-to-month,0
C00576,66,66.5,4,month-to-month,1
C00577,38,60.05,1,month-to-month,1
C00578,64,73.19,3,one-year,0
C00579,8,38.72,0,one-year,0
C00580,7,118.86,4,two-year,1
C00581,60,101.83,2,month-to-month,0
C00582,8,94.16,1,one-year,1
C00583,4,66.88,1,month-to-month,1
C00584,29,35.29,2,two-year,0
C00585,66,112.07,5,month-to-month,1
C00586,49,54.14,3,month-to-month,0
C00587,8,25.01,1,month-to-month,1
C00588,60,54.24,1,two-year,0
C00589,60,99.45,1,month-to-month,0
C00590,57,82.27,3,one-year,1
C00591,65,95.08,3,one-year,1
C00592,18,99.36,2,one-year,1
C00593,70,41.2,2,month-to-month,0
C00594,23,112.38,1,month-to-month,1
C00595,57,63.8,2,month-to-month,0
C00596,42,83.9,0,month-to-month,1
C00597,56,20.23,4,one-year,0
C00598,45,119.34,3,month-to-month,1
C00599,46,48.09,1,month-to-month,1
C00600,44,26.21,3,month-to-month,0
C00601,56,65.83,1,one-year,0
C00602,53,32.9,3,month-to-month,1
C00603,10,35.23,1,one-year,0
C00604,59,83.23,1,month-to-month,0
C00605,39,59.29,3,two-year,0
C00606,23,112.19,1,one-year,1
C00607,37,51.92,3,month-to-month,0
C00608,69,92.62,5,month-to-month,0
C00609,61,66.11,1,month-to-month,0
C00610,60,86.0,4,month-to-month,1
C00611,33,79.97,1,month-to-month,0
C00612,56,67.28,2,two-year,0
C00613,28,115.01,2,one-year,1
C00614,49,54.27,2,month-to-month,1
C00615,46,37.72,2,one-year,0
C00616,18,87.81,6,month-to-month,1
C00617,19,104.6,2,two-year,1
C00618,5,24.03,0,month-to-month,0
C00619,10,64.96,3,one-year,1
C00620,31,109.25,1,one-year,0
C00621,34,94.96,7,month-to-month,1
C00622,12,119.18,0,month-to-month,1
C00623,30,73.14,1,month-to-month,0
C00624,43,86.0,2,two-year,1
C00625,17,50.25,4,one-year,0
C00626,25,114.75,1,one-year,0
C00627,27,56.63,2,one-year,1
C00628,36,93.85,3,two-year,1
C00629,27,60.31,1,month-to-month,1
C00630,53,76.18,1,one-year,0
C00631,24,91.98,1,one-year,1
C00632,31,70.89,2,month-to-month,0
C00633,27,110.71,1,two-year,1
C00634,13,61.93,0,month-to-month,0
C00635,49,84.71,4,month-to-month,1
C00636,17,54.24,0,two-year,0
C00637,22,60.82,3,month-to-month,1
C00638,57,64.01,2,month-to-month,0
C00639,68,32.58,2,month-to-month,0
C00640,48,29.17,5,one-year,1
C00641,66,86.75,0,two-year,0
C00642,61,85.55,2,month-to-month,1
C00643,35,86.29,1,month-to-month,1
C00644,55,21.98,0,month-to-month,0
C00645,24,52.65,0,two-year,0
C00646,33,39.78,4,month-to-month,1
C00647,39,97.82,3,two-year,1
C00648,69,106.06,1,two-year,0
C00649,61,44.67,6,month-to-month,1
C00650,35,86.78,2,two-year,1
C00651,47,32.94,2,one-year,0
C00652,15,47.52,1,one-year,0
C00653,58,33.87,0,month-to-month,0
C00654,40,48.35,0,two-year,0
C00655,38,87.47,2,one-year,1
C00656,55,111.03,1,one-year,0
C00657,45,40.25,0,two-year,0
C00658,6,74.21,3,month-to-month,1
C00659,21,90.14,1,two-year,0
C00660,13,115.29,2,two-year,1
C00661,53,81.01,5,month-to-month,0
C00662,3,45.51,0,month-to-month,1
C00663,15,82.55,0,month-to-month,1
C00664,43,52.05,0,two-year,0
C00665,50,117.61,3,month-to-month,1
C00666,36,59.97,1,one-year,0
C00667,62,88.54,1,month-to-month,1
C00668,66,22.32,1,month-to-month,0
C00669,10,60.01,3,one-year,1
C00670,68,107.51,1,month-to-month,1
C00671,44,81.02,1,two-year,0
C00672,46,64.39,3,month-to-month,1
C00673,7,113.59,1,two-year,0
C00674,45,105.4,1,month-to-month,1
C00675,52,52.22,2,two-year,0
C00676,42,74.45,4,one-year,1
C00677,6,68.98,0,month-to-month,1
C00678,38,83.22,4,month-to-month,1
C00679,67,53.41,3,month-to-month,1
C00680,52,44.42,0,one-year,0
C00681,10,111.27,1,two-year,0
C00682,69,112.39,2,month-to-month,0
C00683,69,104.33,0,month-to-month,0
C00684,13,117.82,1,one-year,0
C00685,57,94.5,2,one-year,0
C00686,29,96.47,3,one-year,0
C00687,43,96.26,6,month-to-month,1
C00688,32,68.06,2,one-year,1
C00689,56,65.65,1,two-year,1
C00690,71,44.02,1,month-to-month,0
C00691,57,84.48,1,month-to-month,0
C00692,67,48.93,2,month-to-month,0
C00693,68,45.78,2,one-year,0
C00694,7,78.6,3,month-to-month,1
C00695,18,61.0,3,two-year,0
C00696,52,41.89,2,one-year,0
C00697,42,101.61,2,one-year,1
C00698,4,106.06,0,one-year,0
C00699,7,36.77,0,month-to-month,0
C00700,37,20.75,1,two-year,0
C00701,44,53.61,4,month-to-month,1
C00702,12,99.75,0,one-year,0
C00703,13,103.92,1,two-year,0
C00704,10,33.83,0,one-year,0
C00705,41,97.43,1,two-year,1
C00706,1,31.57,4,month-to-month,1
C00707,41,59.01,3,two-year,0
C00708,34,119.86,2,one-year,1
C00709,34,39.26,1,one-year,0
C00710,49,35.4,3,month-to-month,0
C00711,38,62.28,3,month-to-month,1
C00712,52,81.97,0,one-year,1
C00713,55,113.29,4,month-to-month,1
C00714,66,118.08,1,one-year,0
C00715,57,26.96,0,two-year,0
C00716,37,33.8,0,two-year,0
C00717,35,99.07,2,month-to-month,1
C00718,17,47.06,3,two-year,1
C00719,43,108.48,1,month-to-month,1
C00720,10,86.35,2,month-to-month,1
C00721,67,31.18,3,two-year,0
C00722,60,103.25,2,month-to-month,1
C00723,9,37.64,2,month-to-month,1
C00724,56,62.35,1,month-to-month,1
C00725,9,75.22,3,one-year,1
C00726,52,70.08,3,two-year,0
C00727,7,88.62,4,month-to-month,1
C00728,35,85.27,1,month-to-month,0
C00729,47,119.2,1,one-year,0
C00730,52,119.94,2,month-to-month,0
C00731,30,71.65,0,one-year,0
C00732,66,29.52,2,two-year,0
