age,monthly_spend,purchases_per_month
21.0,10.17,1.4
32.0,41.94,0.4
22.0,26.76,2.0
29.0,60.58,7.3
22.0,22.11,5.7
24.0,42.69,1.5
10.0,46.23,1.6
23.0,22.18,6.0
26.0,18.86,1.9
23.0,41.12,3.2
36.0,38.62,4.1
18.0,8.84,5.1
22.0,13.07,5.3
20.0,-8.05,0.5
22.0,38.93,1.7
31.0,26.07,4.2
34.0,27.57,0.5
21.0,4.63,0.5
21.0,13.53,4.2
18.0,22.83,0.6
33.0,19.92,3.6
32.0,31.77,1.3
24.0,38.75,2.1
17.0,64.04,4.3
17.0,29.7,2.8
26.0,46.73,4.8
28.0,17.55,0.4
13.0,4.88,0.4
23.0,24.72,6.1
35.0,6.03,2.6
24.0,30.22,5.8
34.0,18.29,6.0
29.0,0.69,4.6
18.0,56.04,0.1
23.0,21.94,0.4
24.0,5.44,1.4
19.0,43.47,1.9
19.0,19.07,0.9
34.0,46.35,3.9
19.0,19.0,3.9
31.0,21.89,1.1
22.0,35.17,4.0
25.0,38.9,3.4
28.0,41.53,6.5
21.0,28.65,3.7
28.0,37.93,5.2
13.0,41.18,3.4
28.0,33.01,4.9
10.0,27.86,1.9
24.0,8.32,1.6
30.0,38.99,1.9
29.0,30.63,1.3
17.0,23.8,3.3
18.0,49.17,3.9
21.0,8.58,3.2
26.0,54.66,1.5
13.0,29.67,0.2
25.0,34.76,5.3
27.0,24.07,3.0
23.0,4.99,1.1
28.0,27.91,1.4
26.0,35.02,3.2
22.0,40.14,2.1
13.0,27.03,1.4
26.0,-2.89,0.3
19.0,6.88,6.8
22.0,60.78,1.5
28.0,13.61,4.1
34.0,51.41,8.6
25.0,15.99,5.2
28.0,27.26,1.9
16.0,39.38,1.4
26.0,17.7,2.1
25.0,53.88,0.8
32.0,31.14,0.1
22.0,36.91,0.2
24.0,25.99,1.0
31.0,39.88,1.7
24.0,53.68,3.5
18.0,28.03,1.7
40.0,55.95,0.0
19.0,20.83,1.5
25.0,41.46,1.4
27.0,37.34,7.5
27.0,13.97,2.7
24.0,33.21,2.8
24.0,30.11,3.3
24.0,17.2,3.6
18.0,35.37,1.6
38.0,32.19,1.6
24.0,28.91,7.3
29.0,28.97,1.2
23.0,28.65,4.0
23.0,24.48,2.6
22.0,32.1,3.8
16.0,20.34,7.1
24.0,69.85,3.7
23.0,8.86,0.3
32.0,21.23,5.3
18.0,22.41,0.1
22.0,60.61,2.5
20.0,10.2,1.9
34.0,36.39,1.1
20.0,33.73,2.2
28.0,35.0,3.1
31.0,48.55,3.1
58.0,74.11,6.3
50.0,89.48,7.8
63.0,82.69,11.5
53.0,91.16,4.7
48.0,81.65,13.4
55.0,55.05,4.0
50.0,95.13,7.0
63.0,78.68,5.1
55.0,91.84,14.6
54.0,90.35,6.5
59.0,68.4,6.5
49.0,66.28,6.9
47.0,89.83,8.3
57.0,75.45,7.0
48.0,94.05,7.6
48.0,77.33,2.6
60.0,95.35,8.2
58.0,86.35,8.1
47.0,84.32,11.1
51.0,74.39,11.9
50.0,83.49,7.4
66.0,97.89,10.4
60.0,79.19,4.7
52.0,87.97,10.3
58.0,80.7,6.3
47.0,81.87,4.4
51.0,105.85,7.4
56.0,98.03,12.2
58.0,81.19,8.5
54.0,83.22,12.5
56.0,69.47,5.8
55.0,77.41,11.1
54.0,84.64,6.0
53.0,92.76,8.7
52.0,91.24,8.7
56.0,63.36,10.0
57.0,94.65,8.8
56.0,78.67,5.8
48.0,65.2,10.6
49.0,100.05,13.2
57.0,101.95,6.2
64.0,83.96,2.5
56.0,90.63,9.5
53.0,91.51,7.0
56.0,100.94,7.6
48.0,90.92,9.7
63.0,60.08,6.6
56.0,110.15,7.2
51.0,95.98,7.7
54.0,72.36,12.4
52.0,64.56,8.1
63.0,87.57,4.3
54.0,75.83,4.4
56.0,84.95,8.4
58.0,91.15,4.6
51.0,71.5,3.3
56.0,63.26,9.9
57.0,85.79,10.1
46.0,72.0,6.9
57.0,82.19,8.9
55.0,59.85,8.6
56.0,76.22,9.8
55.0,90.72,9.8
57.0,89.09,0.2
63.0,68.17,7.3
48.0,62.48,9.6
53.0,80.24,6.8
59.0,88.42,8.1
58.0,86.08,10.3
58.0,72.32,8.2
72.0,84.47,12.5
59.0,102.54,11.4
62.0,83.08,7.6
53.0,55.5,7.4
49.0,83.05,0.6
53.0,110.66,7.0
59.0,60.69,3.9
57.0,80.45,8.7
57.0,76.6,8.5
54.0,81.44,10.1
53.0,82.91,12.2
54.0,97.1,7.9
59.0,81.27,14.8
60.0,99.16,8.7
49.0,78.24,4.1
60.0,74.75,6.3
51.0,69.96,6.9
58.0,52.74,9.8
54.0,84.14,5.2
64.0,110.81,7.1
52.0,86.87,7.5
56.0,90.3,6.7
59.0,73.8,10.4
50.0,76.33,9.9
55.0,94.77,11.5
53.0,110.13,7.0
52.0,102.32,11.6
52.0,92.08,3.9
62.0,80.53,3.8
51.0,83.15,4.4
58.0,68.7,8.0
57.0,58.28,11.6
47.0,63.1,6.2
58.0,80.75,6.6
47.0,75.62,7.4
59.0,57.96,9.7
52.0,79.44,6.6
55.0,75.22,6.4
47.0,62.41,4.0
56.0,74.45,6.3
61.0,75.19,11.5
50.0,70.75,8.3
51.0,93.9,5.8
58.0,51.46,11.7
58.0,50.21,6.2
40.0,80.05,12.3
67.0,81.44,12.2
58.0,86.06,8.2
59.0,71.92,3.5
54.0,66.23,14.9
44.0,79.89,9.2
59.0,73.38,7.0
52.0,103.27,10.9
58.0,75.14,10.1
54.0,79.2,11.9
56.0,117.13,6.0
50.0,77.08,9.0
60.0,88.34,4.4
48.0,89.69,10.0
68.0,90.97,7.9
68.0,84.34,8.8
65.0,82.91,7.6
63.0,81.51,7.2
54.0,71.36,5.4
62.0,84.88,10.4
54.0,110.43,12.5
46.0,98.16,6.3
64.0,84.56,9.7
62.0,92.84,9.3
55.0,66.96,8.0
48.0,76.09,3.4
51.0,94.22,4.1
44.0,102.31,5.7
61.0,68.44,1.6
45.0,72.75,12.2
57.0,112.72,9.1
50.0,81.44,7.9
46.0,107.35,1.4
56.0,83.1,2.5
53.0,83.69,8.0
60.0,75.42,13.9
47.0,94.14,5.9
50.0,100.37,10.6
41.0,64.47,6.6
42.0,74.71,8.2
66.0,93.73,11.6
68.0,78.06,7.0
56.0,72.6,5.9
50.0,95.14,12.3
53.0,96.55,8.1
60.0,73.26,11.3
52.0,83.19,5.9
56.0,61.87,12.2
55.0,66.57,8.8
52.0,81.86,9.3
52.0,80.47,8.4
57.0,65.5,6.5
49.0,69.26,8.0
58.0,64.02,6.7
52.0,86.83,10.9
56.0,50.49,7.4
63.0,64.83,3.5
54.0,52.06,3.0
61.0,86.29,2.8
44.0,52.96,9.9
52.0,80.48,4.5
55.0,104.59,8.9
67.0,105.1,8.4
43.0,52.91,7.8
54.0,84.48,9.3
64.0,65.17,8.5
50.0,62.1,0.1
54.0,78.3,7.0
57.0,98.42,9.3
56.0,88.99,12.9
64.0,69.27,13.1
58.0,90.58,3.9
63.0,46.34,7.0
53.0,68.71,3.3
51.0,67.64,12.6
54.0,81.17,11.0
48.0,76.96,9.1
58.0,77.88,8.5
53.0,77.38,12.1
51.0,80.34,11.6
58.0,88.1,11.5
48.0,82.24,9.4
60.0,75.73,7.0
52.0,86.03,10.3
62.0,92.39,10.4
39.0,151.51,14.1
38.0,132.81,20.4
47.0,167.8,13.6
50.0,190.92,14.1
36.0,157.26,12.2
38.0,140.48,18.4
42.0,112.0,5.2
43.0,124.73,13.7
37.0,173.32,14.9
51.0,134.56,13.0
43.0,144.44,17.6
43.0,159.83,18.6
51.0,172.23,10.8
37.0,147.01,21.3
39.0,143.93,10.7
32.0,151.07,18.9
39.0,140.59,15.4
31.0,141.39,13.5
44.0,156.18,13.8
43.0,152.78,14.9
38.0,181.97,15.6
39.0,156.58,12.2
45.0,167.27,14.3
33.0,133.93,12.7
41.0,157.88,11.4
44.0,139.16,12.5
29.0,155.93,11.6
44.0,160.33,13.7
30.0,150.75,16.3
39.0,186.11,15.4
33.0,171.42,20.9
49.0,167.66,8.4
33.0,161.46,16.4
30.0,176.45,15.0
41.0,128.45,17.4
38.0,170.55,17.1
31.0,135.13,14.5
43.0,141.53,15.5
28.0,158.42,12.8
34.0,168.5,16.8
37.0,132.7,9.4
45.0,142.31,17.3
48.0,151.46,14.9
47.0,147.2,13.5
39.0,162.81,14.3
25.0,201.54,14.5
42.0,156.29,18.9
49.0,138.97,24.7
47.0,130.55,18.7
43.0,145.12,13.3
33.0,135.9,16.9
37.0,157.01,17.0
52.0,156.78,12.2
31.0,143.05,11.2
33.0,179.77,14.8
46.0,138.97,17.4
37.0,148.21,10.2
33.0,159.59,12.8
49.0,163.38,16.7
43.0,169.16,15.1
38.0,156.43,19.2
33.0,165.76,10.8
52.0,140.02,22.1
40.0,163.77,10.4
48.0,163.57,8.9
45.0,172.69,14.8
37.0,124.97,11.6
37.0,136.39,14.9
49.0,162.35,14.8
49.0,110.23,14.4
29.0,157.38,12.5
43.0,165.9,16.3
39.0,141.35,14.0
34.0,143.55,18.3
42.0,133.89,14.5
32.0,142.18,12.1
37.0,142.61,9.9
35.0,139.76,14.5
37.0,138.93,11.2
40.0,145.93,11.0
34.0,145.75,16.6
49.0,178.11,9.7
43.0,144.09,19.2
51.0,155.16,15.5
39.0,141.35,14.9
37.0,141.16,11.9
51.0,124.43,17.3
37.0,126.43,15.0
39.0,131.9,12.9
44.0,152.76,15.6
33.0,166.14,10.0
44.0,123.2,10.1
44.0,141.76,11.6
48.0,129.5,16.0
45.0,146.04,15.0
48.0,166.14,18.1
39.0,143.3,12.2
35.0,149.29,16.7
53.0,171.83,14.7
31.0,156.87,12.2
31.0,138.6,16.2
43.0,152.38,14.8
50.0,137.59,13.1
41.0,156.31,15.1
46.0,157.73,14.6
28.0,129.49,14.5
37.0,152.63,13.8
29.0,148.24,11.1
45.0,158.17,15.2
31.0,162.47,12.6
32.0,157.16,11.9
43.0,145.45,14.3
46.0,164.0,17.2
39.0,136.9,15.6
43.0,130.19,13.4
43.0,102.07,13.3
39.0,148.95,16.9
33.0,137.68,7.8
43.0,155.97,17.4
44.0,120.43,9.4
45.0,140.29,10.8
42.0,157.05,13.5
33.0,134.55,21.5
44.0,156.14,20.0
40.0,141.64,17.1
37.0,149.51,16.1
38.0,158.93,9.4
36.0,164.29,15.5
45.0,151.39,13.4
31.0,137.79,12.5
34.0,143.13,15.5
38.0,159.55,13.6
50.0,134.68,17.6
46.0,147.33,9.2
30.0,144.21,15.2
48.0,148.45,12.4
48.0,134.86,13.8
33.0,122.22,15.9
25.0,157.81,11.6
40.0,164.46,15.5
47.0,123.12,14.4
50.0,155.53,13.0
35.0,166.25,13.6
51.0,158.94,14.5
27.0,143.75,12.7
38.0,135.85,15.0
37.0,151.21,14.2
47.0,153.72,13.2
48.0,151.44,19.8
46.0,147.3,16.2
32.0,133.76,13.9
45.0,156.34,15.4
43.0,157.06,11.9
30.0,153.01,13.7
28.0,151.66,14.0
46.0,175.19,11.3
39.0,140.63,16.2
32.0,169.22,13.5
39.0,138.99,13.9
42.0,166.63,13.3
40.0,168.5,23.9
31.0,145.6,13.0
51.0,174.91,8.8
46.0,157.04,10.2
38.0,136.84,17.3
38.0,144.39,19.0
42.0,166.99,13.0
33.0,163.85,18.8
42.0,134.13,17.2
32.0,147.91,14.4
40.0,153.05,14.2
33.0,142.39,15.5
33.0,185.37,17.6
50.0,153.5,16.2
40.0,149.07,13.0
41.0,167.86,14.5
28.0,144.52,20.9
36.0,165.11,15.8
43.0,124.98,17.6
41.0,143.2,16.6
27.0,165.74,15.8
41.0,173.55,15.3
42.0,138.4,17.7
48.0,136.65,17.2
36.0,158.51,15.8
27.0,140.65,12.9
34.0,145.97,16.2
33.0,163.15,14.8
44.0,141.84,14.1
24.0,120.52,23.0
37.0,130.48,10.4
49.0,150.15,17.9
40.0,122.05,12.4
45.0,145.54,15.4
30.0,129.12,22.7
30.0,174.6,12.1
49.0,182.48,12.8
41.0,134.13,14.9
41.0,153.85,12.5
33.0,135.59,17.7
