customer_id,tenure_months,monthly_charge,support_calls,contract_type,account_status,churned
D00142,22,165.48,3,month-to-month,closed,1
D00143,5,96.33,1,month-to-month,closed,1
D00144,19,99.95,2,month-to-month,closed,1
D00145,3,140.44,1,month-to-month,active,0
D00146,5,77.91,1,month-to-month,active,0
D00147,19,171.53,1,month-to-month,closed,1
D00148,14,103.66,2,one-year,closed,1
D00149,13,72.14,4,month-to-month,closed,1
D00150,20,80.96,1,month-to-month,active,0
D00151,8,171.93,3,one-year,closed,1
D00152,12,89.65,1,one-year,active,0
D00153,14,139.47,0,month-to-month,active,0
D00154,18,78.74,1,one-year,active,0
D00155,8,83.29,0,one-year,closed,1
D00156,15,165.51,5,month-to-month,closed,1
D00157,11,77.76,3,one-year,closed,1
D00158,13,62.25,1,one-year,closed,1
D00159,20,120.15,1,month-to-month,closed,1
D00160,10,163.53,1,month-to-month,active,0
D00161,16,99.12,0,one-year,active,0
D00162,22,75.38,3,two-year,active,0
D00163,18,177.87,1,month-to-month,closed,1
D00164,23,141.21,0,one-year,active,0
D00165,14,162.08,1,one-year,active,0
D00166,7,150.26,1,one-year,closed,1
D00167,23,143.79,0,two-year,closed,1
D00168,15,106.15,2,month-to-month,active,0
D00169,6,98.92,1,month-to-month,active,0
D00170,8,146.04,2,month-to-month,active,0
D00171,7,146.01,0,month-to-month,closed,1
D00172,20,174.07,4,month-to-month,closed,1
D00173,3,128.24,5,one-year,active,0
D00174,18,95.35,3,two-year,active,0
D00175,13,118.74,2,month-to-month,active,0
D00176,2,133.65,1,one-year,closed,1
D00177,15,111.21,1,month-to-month,closed,1
D00178,18,154.94,4,month-to-month,active,0
D00179,17,130.15,2,month-to-month,active,0
D00180,13,61.13,3,month-to-month,active,0
D00181,8,128.38,2,month-to-month,active,0
D00182,4,136.03,2,one-year,closed,1
D00183,1,169.83,1,month-to-month,closed,1
D00184,9,109.65,3,month-to-month,closed,1
D00185,15,128.94,3,month-to-month,active,0
D00186,1,117.0,2,month-to-month,active,0
D00187,23,123.8,1,two-year,closed,1
D00188,14,68.08,5,two-year,closed,1
D00189,7,167.67,5,month-to-month,closed,1
D00190,23,169.25,3,month-to-month,closed,1
D00191,5,125.77,3,month-to-month,active,0
D00192,23,126.79,2,month-to-month,closed,1
D00193,7,66.91,1,month-to-month,active,0
D00194,9,131.75,2,month-to-month,closed,1
D00195,10,111.5,1,month-to-month,closed,1
D00196,23,145.09,2,month-to-month,closed,1
D00197,6,65.65,3,month-to-month,active,0
D00198,23,145.31,2,month-to-month,closed,1
D00199,8,94.43,5,month-to-month,active,0
D00200,7,138.2,2,month-to-month,closed,1
D00201,15,135.26,2,month-to-month,active,0
D00202,16,87.22,2,month-to-month,active,0
D00203,8,112.85,3,month-to-month,active,0
D00204,4,160.28,2,one-year,closed,1
D00205,10,132.67,1,two-year,active,0
D00206,13,68.25,1,month-to-month,closed,1
D00207,1,113.15,3,one-year,active,0
D00208,2,97.41,1,one-year,active,0
D00209,22,137.0,4,month-to-month,closed,1
D00210,1,133.75,1,month-to-month,active,0
D00211,10,61.25,3,month-to-month,active,0
D00212,18,132.92,2,month-to-month,closed,1
D00213,8,148.18,0,two-year,closed,1
D00214,12,152.25,0,month-to-month,active,0
D00215,2,67.08,2,month-to-month,active,0
D00216,19,96.44,2,month-to-month,active,0
D00217,15,110.55,3,month-to-month,closed,1
D00218,20,81.57,3,month-to-month,closed,1
D00219,20,110.49,4,month-to-month,active,0
D00220,9,68.54,4,month-to-month,active,0
D00221,1,73.59,2,one-year,active,0
D00222,8,140.24,4,month-to-month,closed,1
D00223,4,91.51,2,month-to-month,closed,1
D00224,13,145.37,2,one-year,closed,1
D00225,4,65.77,4,month-to-month,active,0
D00226,22,127.52,4,month-to-month,closed,1
D00227,14,106.97,0,one-year,active,0
D00228,6,155.64,2,month-to-month,closed,1
D00229,22,154.07,2,month-to-month,active,0
D00230,18,105.07,5,month-to-month,closed,1
D00231,11,134.73,0,month-to-month,closed,1
D00232,4,87.31,4,month-to-month,closed,1
D00233,8,129.65,1,month-to-month,closed,1
D00234,14,69.75,2,month-to-month,active,0
D00235,18,112.15,3,month-to-month,closed,1
D00236,7,81.93,2,month-to-month,active,0
D00237,18,166.01,1,month-to-month,active,0
D00238,7,113.39,3,month-to-month,closed,1
D00239,6,130.89,1,two-year,active,0
D00240,11,103.25,1,month-to-month,closed,1
D00241,4,94.65,2,month-to-month,active,0
D00242,10,84.35,2,month-to-month,active,0
D00243,9,169.42,0,month-to-month,closed,1
D00244,7,155.94,1,month-to-month,closed,1
D00245,18,75.99,2,one-year,closed,1
D00246,8,149.61,1,month-to-month,closed,1
D00247,16,110.22,3,month-to-month,active,0
D00248,17,61.85,1,month-to-month,active,0
D00249,16,123.4,0,one-year,closed,1
D00250,7,75.61,4,month-to-month,closed,1
D00251,20,85.19,2,month-to-month,active,0
D00252,6,143.52,1,one-year,closed,1
D00253,7,90.86,2,one-year,active,0
D00254,21,167.03,3,month-to-month,closed,1
D00255,8,138.86,1,two-year,closed,1
D00256,17,159.87,1,one-year,closed,1
D00257,1,133.82,2,month-to-month,closed,1
D00258,15,164.26,1,one-year,closed,1
D00259,20,103.4,4,month-to-month,active,0
D00260,17,125.9,4,month-to-month,active,0
D00261,14,121.91,3,month-to-month,closed,1
D00262,20,168.45,6,one-year,active,0
D00263,7,79.79,1,month-to-month,closed,1
D00264,9,129.37,0,month-to-month,closed,1
D00265,2,150.53,3,month-to-month,active,0
D00266,17,104.41,4,month-to-month,active,0
D00267,17,164.11,1,two-year,active,0
D00268,18,104.76,0,one-year,closed,1
D00269,18,80.8,1,month-to-month,active,0
D00270,3,130.09,0,one-year,closed,1
D00271,16,110.47,1,one-year,active,0
D00272,18,61.82,1,month-to-month,active,0
D00273,5,68.38,2,month-to-month,active,0
D00274,11,83.43,0,month-to-month,closed,1
D00275,22,152.32,2,month-to-month,closed,1
D00276,10,167.04,0,month-to-month,closed,1
D00277,18,125.48,1,month-to-month,closed,1
D00278,13,72.67,2,two-year,active,0
D00279,16,124.13,2,month-to-month,closed,1
D00280,15,162.67,0,one-year,active,0
D00281,15,149.94,1,two-year,closed,1
D00282,18,94.93,3,month-to-month,active,0
D00283,21,74.87,2,month-to-month,closed,1
D00284,7,168.08,3,one-year,closed,1
D00285,22,162.49,0,one-year,closed,1
D00286,15,66.45,3,month-to-month,closed,1
D00287,14,158.84,2,month-to-month,active,0
D00288,8,71.67,1,month-to-month,active,0
D00289,10,67.59,0,one-year,active,0
D00290,15,151.03,0,one-year,active,0
D00291,9,124.36,4,month-to-month,active,0
D00292,7,109.75,2,month-to-month,closed,1
D00293,19,168.46,4,month-to-month,active,0
D00294,10,160.72,1,two-year,closed,1
D00295,15,66.91,3,two-year,active,0
D00296,1,133.93,1,one-year,closed,1
D00297,2,152.67,2,month-to-month,closed,1
D00298,20,126.06,3,month-to-month,closed,1
D00299,4,177.96,2,month-to-month,closed,1
D00300,19,142.33,4,month-to-month,closed,1
D00301,21,72.5,1,month-to-month,closed,1
D00302,12,83.8,4,one-year,active,0
D00303,21,159.15,0,month-to-month,closed,1
D00304,10,179.61,3,month-to-month,closed,1
D00305,22,71.8,1,two-year,active,0
D00306,6,72.04,2,month-to-month,closed,1
D00307,10,151.61,2,month-to-month,active,0
D00308,9,67.72,2,two-year,closed,1
D00309,19,68.23,2,month-to-month,active,0
D00310,2,166.66,1,month-to-month,closed,1
D00311,20,156.05,2,month-to-month,closed,1
D00312,1,165.79,5,one-year,active,0
D00313,8,138.06,2,month-to-month,closed,1
D00314,14,98.7,2,month-to-month,closed,1
D00315,4,168.76,2,month-to-month,closed,1
D00316,12,95.85,4,month-to-month,closed,1
D00317,23,93.06,1,one-year,active,0
D00318,19,166.37,3,month-to-month,closed,1
D00319,1,141.7,1,month-to-month,closed,1
D00320,14,167.48,0,month-to-month,closed,1
D00321,14,78.71,0,month-to-month,active,0
D00322,2,174.28,0,month-to-month,closed,1
D00323,15,133.53,3,month-to-month,closed,1
D00324,12,140.16,0,month-to-month,closed,1
D00325,16,169.69,3,month-to-month,closed,1
D00326,7,105.69,0,one-year,active,0
D00327,6,146.35,3,two-year,active,0
D00328,17,136.84,0,month-to-month,closed,1
D00329,17,154.53,3,month-to-month,closed,1
D00330,4,167.63,4,month-to-month,closed,1
D00331,5,141.61,2,month-to-month,active,0
D00332,14,68.12,3,month-to-month,closed,1
D00333,20,81.98,3,two-year,active,0
D00334,5,174.48,2,one-year,active,0
D00335,6,176.24,3,month-to-month,closed,1
D00336,19,176.09,3,two-year,closed,1
D00337,17,64.42,4,month-to-month,closed,1
D00338,21,105.89,1,month-to-month,closed,1
D00339,19,151.16,1,month-to-month,closed,1
D00340,22,150.35,2,month-to-month,closed,1
D00341,5,70.31,5,one-year,active,0
D00342,7,133.14,1,month-to-month,closed,1
D00343,6,77.14,1,month-to-month,closed,1
D00344,2,119.19,1,month-to-month,active,0
D00345,18,88.76,1,two-year,active,0
D00346,16,66.38,0,month-to-month,active,0
D00347,2,69.6,4,month-to-month,active,0
D00348,5,169.31,2,month-to-month,closed,1
D00349,5,149.36,4,two-year,closed,1
D00350,10,171.82,2,month-to-month,closed,1
D00351,11,116.4,1,month-to-month,closed,1
D00352,7,109.6,6,one-year,active,0
D00353,22,103.01,1,month-to-month,active,0
D00354,5,133.96,1,month-to-month,active,0
D00355,13,102.19,3,month-to-month,active,0
D00356,11,149.55,2,month-to-month,closed,1
D00357,9,156.16,1,month-to-month,closed,1
D00358,19,165.1,1,month-to-month,closed,1
D00359,23,89.14,0,month-to-month,active,0
D00360,1,123.24,2,month-to-month,active,0
D00361,11,86.81,2,month-to-month,closed,1
D00362,3,64.51,1,two-year,active,0
D00363,10,144.94,4,month-to-month,active,0
D00364,15,125.88,1,month-to-month,closed,1
D00365,10,146.87,1,month-to-month,active,0
D00366,8,70.51,2,one-year,closed,1
D00367,8,179.46,0,month-to-month,closed,1
D00368,7,179.32,5,month-to-month,closed,1
D00369,8,115.8,2,month-to-month,closed,1
D00370,9,163.93,2,month-to-month,closed,1
D00371,16,89.23,1,one-year,active,0
D00372,3,148.51,0,one-year,closed,1
D00373,1,165.51,1,one-year,closed,1
D00374,12,157.76,3,month-to-month,closed,1
D00375,16,157.41,2,month-to-month,closed,1
D00376,6,115.56,5,month-to-month,active,0
D00377,5,158.4,5,one-year,closed,1
D00378,15,142.88,2,two-year,active,0
D00379,9,75.89,3,two-year,active,0
D00380,17,73.7,1,month-to-month,closed,1
D00381,4,152.63,2,one-year,closed,1
D00382,3,135.06,3,month-to-month,closed,1
D00383,13,122.33,5,one-year,active,0
D00384,10,168.87,2,month-to-month,closed,1
D00385,17,139.15,2,month-to-month,closed,1
D00386,12,107.54,7,month-to-month,closed,1
D00387,9,109.67,3,two-year,active,0
D00388,4,132.63,3,month-to-month,closed,1
D00389,4,151.23,1,month-to-month,closed,1
D00390,18,127.72,1,month-to-month,active,0
D00391,6,121.05,2,month-to-month,closed,1
D00392,12,147.23,3,two-year,closed,1
D00393,19,144.63,2,month-to-month,closed,1
D00394,21,159.64,0,month-to-month,closed,1
D00395,7,67.51,2,one-year,active,0
D00396,3,150.59,5,month-to-month,active,0
D00397,18,121.65,2,month-to-month,active,0
D00398,16,68.96,0,month-to-month,active,0
D00399,8,141.48,0,month-to-month,closed,1
